                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5413,                 3.7142,                  1.476,                0.90163,                0.24082,                0.35091,                0.21745,                 1.2992,                 3.4461,                 1.2454,             0.00027492,             0.00027492,             0.00027492
                      1,                 1.4072,                 2.6105,                 1.3371,                0.71401,                0.43246,                 0.4737,                0.28932,                 1.1894,                 2.4623,                 1.2298,             0.00054164,             0.00054164,             0.00054164
                      2,                 1.3677,                 2.3232,                 1.3369,                0.68617,                0.51932,                  0.547,                0.31409,                 1.3203,                 2.3178,                 1.3511,             0.00079737,             0.00079737,             0.00079737
                      3,                 1.2978,                 1.9785,                 1.2873,                0.66796,                0.72228,                0.71282,                0.42965,                 1.2212,                  1.944,                 1.2836,             0.00078352,             0.00078352,             0.00078352
                      4,                 1.2892,                 1.7504,                 1.2782,                0.78931,                0.79065,                0.80404,                0.45821,                 1.2684,                 1.6872,                 1.2676,             0.00078352,             0.00078352,             0.00078352
                      5,                  1.253,                  1.504,                 1.2535,                0.84981,                0.77324,                0.84524,                0.50025,                 1.1904,                 1.5276,                 1.2331,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.2538,                 1.4344,                 1.2508,                0.65174,                0.79025,                0.81435,                0.44377,                 1.2429,                 1.4885,                 1.2742,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.2303,                 1.2956,                 1.2241,                0.65857,                0.74748,                0.82306,                0.50775,                 1.2014,                  1.348,                 1.2344,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.1632,                 1.1425,                 1.1833,                0.78539,                 0.8617,                0.83168,                0.50029,                 1.2747,                 1.1681,                 1.2657,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.1427,                 1.1001,                 1.1865,                 0.7162,                0.84645,                0.79976,                0.46671,                 1.1988,                 1.1404,                 1.2412,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.1479,                 1.0273,                 1.1781,                0.78157,                0.87538,                0.87835,                0.55119,                 1.1444,                 1.0257,                 1.1903,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.0874,                0.94851,                 1.1491,                0.75355,                0.86356,                0.82909,                0.53824,                 1.1566,                0.96036,                 1.1983,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.0574,                0.91653,                 1.1459,                0.83007,                 0.8562,                0.85859,                0.50065,                  1.187,                0.97263,                 1.2452,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.0667,                0.89314,                  1.149,                0.77947,                0.85856,                0.87731,                0.55981,                 1.1841,                0.89294,                 1.2279,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.0334,                0.84225,                 1.1199,                0.82856,                0.85888,                0.85524,                0.52951,                 1.1336,                0.87599,                 1.1958,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.0074,                0.80864,                 1.1173,                 0.9478,                0.76813,                0.91162,                0.54642,                 1.2509,                0.82359,                 1.2584,             0.00060209,             0.00060209,             0.00060209
                     16,                0.98737,                0.75918,                 1.1031,                0.76993,                0.85151,                0.86063,                0.55614,                 1.1779,                0.86295,                   1.21,              0.0005856,              0.0005856,              0.0005856
                     17,                 0.9708,                0.74643,                 1.0931,                 0.8788,                0.85331,                0.91018,                0.58944,                 1.1531,                0.80694,                 1.2068,             0.00056911,             0.00056911,             0.00056911
                     18,                0.97374,                0.71951,                 1.0958,                0.79777,                0.89975,                0.87629,                0.57047,                 1.1221,                0.77968,                 1.1843,             0.00055261,             0.00055261,             0.00055261
                     19,                0.93454,                 0.6775,                 1.0703,                0.94006,                0.89408,                0.92598,                0.59829,                 1.1636,                0.72781,                 1.1962,             0.00053612,             0.00053612,             0.00053612
                     20,                0.94036,                0.66862,                 1.0726,                 0.9069,                0.90568,                0.91943,                0.55375,                 1.1444,                0.75552,                 1.2008,             0.00051963,             0.00051963,             0.00051963
                     21,                0.92597,                0.64135,                 1.0668,                0.89622,                0.88714,                0.92115,                0.55937,                 1.1457,                0.72647,                 1.2083,             0.00050313,             0.00050313,             0.00050313
                     22,                0.91058,                0.64236,                 1.0645,                0.89967,                0.87658,                0.91929,                 0.5922,                  1.105,                0.69763,                 1.1885,             0.00048664,             0.00048664,             0.00048664
                     23,                0.89598,                0.62883,                 1.0511,                0.90491,                0.90958,                0.95089,                0.62649,                  1.086,                0.64722,                 1.1525,             0.00047015,             0.00047015,             0.00047015
                     24,                0.89339,                0.61164,                 1.0484,                0.86879,                0.91093,                0.93328,                0.57557,                 1.1237,                0.68817,                 1.2061,             0.00045365,             0.00045365,             0.00045365
                     25,                0.88318,                0.60888,                 1.0478,                0.86265,                0.90323,                0.94031,                0.62399,                 1.0828,                0.64575,                 1.1759,             0.00043716,             0.00043716,             0.00043716
                     26,                 0.8565,                0.58438,                 1.0334,                0.86566,                0.88668,                0.90631,                0.58848,                 1.1551,                0.65152,                 1.2163,             0.00042066,             0.00042066,             0.00042066
